magnitudes	Swill6_5
NODE_A7514_length_603_cov_6.538023_S12	460
NODE_A7622_length_600_cov_21.724665_S12	747
NODE_A7663_length_599_cov_17.816092_S12	2188
NODE_A7671_length_599_cov_10.078544_S12	387
NODE_A7716_length_598_cov_301.777351_S12	1685
NODE_A7769_length_597_cov_9.511538_S12	421
NODE_A7861_length_595_cov_29.523166_S12	5334
NODE_A7973_length_593_cov_5.875969_S12	625
NODE_B886_length_592_cov_4.046602_S12	469
NODE_A8087_length_590_cov_24.212476_S12	757
NODE_B902_length_589_cov_1.896484_S12	525
NODE_A8178_length_588_cov_70.350294_S12	9364
NODE_A8183_length_588_cov_7.604697_S12	417
NODE_B916_length_586_cov_1.233792_S12	714
NODE_A8428_length_583_cov_11.083004_S12	487
NODE_A8499_length_582_cov_4.100990_S12	630
NODE_A8519_length_581_cov_144.275794_S12	471
NODE_A8542_length_581_cov_5.805556_S12	355
NODE_A8689_length_578_cov_11.632735_S12	642
NODE_A8839_length_575_cov_13.383534_S12	469
NODE_A9000_length_572_cov_5.246465_S12	450
NODE_A9084_length_570_cov_28.780933_S12	495
NODE_A9096_length_570_cov_6.324544_S12	347
NODE_B1000_length_570_cov_5.527383_S12	555
NODE_B1003_length_570_cov_4.768763_S12	638
NODE_A9274_length_567_cov_4.838776_S12	411
NODE_B1032_length_565_cov_3.370902_S12	609
NODE_A9402_length_564_cov_15.156057_S12	891
NODE_B1049_length_562_cov_3.259794_S12	356
NODE_A9692_length_559_cov_3.271784_S12	823
NODE_B1076_length_558_cov_2.149688_S12	480
NODE_A9763_length_557_cov_7.420833_S12	868
NODE_A9867_length_556_cov_2.169102_S12	400
NODE_B1097_length_555_cov_4.094142_S12	611
NODE_B1098_length_555_cov_3.087866_S12	361
NODE_A9939_length_554_cov_7.498952_S12	425
NODE_A10024_length_553_cov_5.014706_S12	911
NODE_A9995_length_553_cov_17.642857_S12	466
NODE_B1118_length_553_cov_1.065126_S12	532
NODE_A10141_length_551_cov_6.175105_S12	934
NODE_A10257_length_549_cov_6.220339_S12	585
NODE_A10379_length_547_cov_13.510638_S12	366
NODE_A10436_length_546_cov_8.424307_S12	440
NODE_A10448_length_546_cov_5.850746_S12	365
NODE_A10543_length_544_cov_78.376874_S12	1279
NODE_A10629_length_543_cov_7.145923_S12	2020
NODE_A10790_length_540_cov_10.090713_S12	433
NODE_A10831_length_540_cov_3.980562_S12	604
NODE_A10855_length_539_cov_7.428571_S12	766
NODE_A10906_length_538_cov_63.535792_S12	372
NODE_A11199_length_534_cov_3.450766_S12	545
NODE_A11214_length_533_cov_18.111842_S12	524
NODE_B1256_length_533_cov_1.021930_S12	521
NODE_A11272_length_532_cov_25.298901_S12	939
NODE_A11292_length_532_cov_7.162637_S12	523
NODE_A11381_length_531_cov_5.345815_S12	425
NODE_B1261_length_531_cov_32.116740_S12	1592
NODE_A11586_length_528_cov_5.339246_S12	1171
NODE_A11832_length_524_cov_8.798658_S12	597
NODE_A11840_length_524_cov_6.290828_S12	353
NODE_A11939_length_522_cov_11.125843_S12	373
NODE_B1334_length_521_cov_3.673423_S12	432
NODE_A12080_length_520_cov_12.553047_S12	352
NODE_A12092_length_520_cov_7.291196_S12	322
NODE_B1341_length_520_cov_31.015801_S12	23995
NODE_B1357_length_519_cov_1.977376_S12	460
NODE_A12221_length_518_cov_10.167800_S12	779
NODE_B1364_length_518_cov_1.870748_S12	395
NODE_B1365_length_518_cov_1.439909_S12	398
NODE_A12291_length_517_cov_10.038636_S12	514
NODE_A12453_length_515_cov_8.210046_S12	793
NODE_A12764_length_511_cov_3.963134_S12	414
NODE_A12972_length_508_cov_4.835267_S12	405
NODE_A13082_length_507_cov_2.846512_S12	1095
NODE_B1462_length_506_cov_354.365967_S12	278704
NODE_A13181_length_505_cov_11.892523_S12	839
NODE_A13221_length_505_cov_4.207944_S12	332
NODE_A13357_length_503_cov_7.605634_S12	345
NODE_A13376_length_503_cov_4.981221_S12	744
NODE_A13385_length_503_cov_4.042254_S12	562
NODE_B1493_length_503_cov_2.795775_S12	1498
NODE_A13421_length_502_cov_12.870588_S12	1876
NODE_A13502_length_501_cov_8.563679_S12	403
NODE_B1521_length_501_cov_1.577830_S12	409
NODE_A13570_length_500_cov_11.607565_S12	1149
NODE_A1_length_19728_cov_1238.280342_S18	478504
NODE_A3_length_17394_cov_53.922850_S18	27083
NODE_A4_length_16872_cov_48.405180_S18	20861
NODE_B2_length_14082_cov_42.256123_S18	77641
NODE_A6_length_9325_cov_96.801903_S18	21428
NODE_A7_length_9243_cov_93.990072_S18	18984
NODE_A10_length_6262_cov_31.043331_S18	5379
NODE_A11_length_5876_cov_91.603897_S18	12926
NODE_B5_length_5756_cov_32.280859_S18	21062
NODE_A12_length_5362_cov_26.459224_S18	3288
NODE_A13_length_5278_cov_29.527975_S18	3659
NODE_A14_length_5269_cov_27.993451_S18	3961
NODE_A15_length_5193_cov_28.129593_S18	3496
NODE_A16_length_5167_cov_37.686444_S18	4250
NODE_B6_length_5152_cov_13.130049_S18	14473
NODE_A17_length_5078_cov_30.493101_S18	3119
NODE_A18_length_4630_cov_47.265759_S18	5392
NODE_A19_length_4538_cov_27.242995_S18	3262
NODE_A21_length_4474_cov_31.444849_S18	3384
NODE_A24_length_4297_cov_24.747867_S18	2895
NODE_A27_length_4119_cov_19.854280_S18	2568
NODE_A28_length_4087_cov_50.308728_S18	3407
NODE_A30_length_4054_cov_33.702791_S18	3453
NODE_A33_length_3949_cov_29.952479_S18	3010
NODE_A35_length_3932_cov_29.826459_S18	2981
NODE_A37_length_3919_cov_36.023425_S18	3369
NODE_A38_length_3901_cov_36.548640_S18	3041
NODE_A40_length_3844_cov_33.842315_S18	2790
NODE_A43_length_3821_cov_43.071047_S18	2578
NODE_A44_length_3786_cov_42.310326_S18	3371
NODE_A46_length_3765_cov_28.460683_S18	2712
NODE_A47_length_3759_cov_71.453286_S18	6074
NODE_A48_length_3699_cov_212.683876_S18	7860
NODE_A51_length_3657_cov_28.667039_S18	2485
NODE_B9_length_3650_cov_4.193955_S18	3112
NODE_A52_length_3601_cov_37.731839_S18	3458
NODE_A54_length_3590_cov_26.906633_S18	2139
NODE_A57_length_3474_cov_44.271710_S18	3749
NODE_A58_length_3474_cov_32.305269_S18	2429
NODE_A59_length_3446_cov_28.326506_S18	2206
NODE_A62_length_3353_cov_99.343407_S18	7677
NODE_A63_length_3353_cov_45.023199_S18	4158
NODE_A65_length_3335_cov_43.011050_S18	2723
NODE_A66_length_3329_cov_28.072878_S18	2351
NODE_A74_length_3226_cov_48.859638_S18	2743
NODE_A76_length_3182_cov_39.720129_S18	2898
NODE_A80_length_3145_cov_33.930900_S18	2189
NODE_A81_length_3118_cov_39.502466_S18	2732
NODE_A84_length_3023_cov_122.904616_S18	6428
NODE_A96_length_2904_cov_33.600283_S18	2554
NODE_A97_length_2898_cov_28.851471_S18	2022
NODE_A100_length_2865_cov_24.137374_S18	1809
NODE_A102_length_2841_cov_31.253980_S18	1917
NODE_B14_length_2820_cov_13.238425_S18	8614
NODE_A103_length_2816_cov_31.818912_S18	2043
NODE_A108_length_2742_cov_64.756098_S18	3150
NODE_C12_length_2734_cov_7.865262_S18	27280
NODE_A116_length_2668_cov_69.838286_S18	2791
NODE_A120_length_2611_cov_44.663773_S18	2772
NODE_B20_length_2611_cov_4.861089_S18	1710
NODE_A121_length_2601_cov_40.140650_S18	2374
NODE_A123_length_2559_cov_41.506446_S18	2332
NODE_B23_length_2519_cov_13.258804_S18	5197
NODE_A129_length_2510_cov_91.337443_S18	4144
NODE_A132_length_2494_cov_64.137774_S18	3073
NODE_B24_length_2487_cov_29.866390_S18	22340
NODE_A134_length_2485_cov_112.336379_S18	5920
NODE_A137_length_2474_cov_24.872340_S18	1709
NODE_B27_length_2432_cov_4.931210_S18	2752
NODE_A144_length_2379_cov_31.838836_S18	1963
NODE_B31_length_2338_cov_4.317559_S18	2065
NODE_B32_length_2332_cov_202.653215_S18	65020
NODE_A161_length_2298_cov_65.471409_S18	2867
NODE_B33_length_2297_cov_5.324324_S18	1803
NODE_A164_length_2248_cov_31.490557_S18	1699
NODE_B35_length_2234_cov_3.884098_S18	1407
NODE_B36_length_2233_cov_3.617347_S18	2926
NODE_B37_length_2217_cov_10.893458_S18	7117
NODE_B40_length_2207_cov_5.692958_S18	2995
NODE_A177_length_2158_cov_49.306583_S18	2438
NODE_B41_length_2145_cov_4.680368_S18	1293
NODE_A180_length_2135_cov_39.205053_S18	2058
NODE_A181_length_2122_cov_21.428362_S18	1374
NODE_B43_length_2077_cov_7.214000_S18	1947
NODE_B44_length_2072_cov_21.749875_S18	6710
NODE_A186_length_2066_cov_67.789341_S18	2959
NODE_A192_length_2040_cov_27.213449_S18	1360
NODE_A193_length_2036_cov_57.238387_S18	1619
NODE_A198_length_2024_cov_48.889060_S18	1336
NODE_A199_length_2014_cov_49.487352_S18	1874
NODE_A203_length_1999_cov_21.950572_S18	1235
NODE_B47_length_1986_cov_4.773180_S18	1857
NODE_A208_length_1966_cov_41.876654_S18	1400
NODE_A209_length_1959_cov_24.828905_S18	1236
NODE_A210_length_1956_cov_59.827036_S18	2815
NODE_A211_length_1949_cov_75.153312_S18	1927
NODE_B49_length_1949_cov_2.912393_S18	1220
NODE_B52_length_1898_cov_5.704558_S18	1436
NODE_B53_length_1881_cov_17.656874_S18	8008
NODE_B55_length_1875_cov_4.101224_S18	2582
NODE_A232_length_1856_cov_24.554244_S18	1577
NODE_C16_length_1856_cov_4.521641_S18	9484
NODE_A238_length_1844_cov_52.725523_S18	2348
NODE_A248_length_1814_cov_26.283247_S18	1467
NODE_A261_length_1772_cov_41.695575_S18	1724
NODE_A264_length_1766_cov_28.402013_S18	1255
NODE_A274_length_1737_cov_39.020482_S18	1510
NODE_A275_length_1734_cov_44.178636_S18	1500
NODE_A276_length_1733_cov_77.303140_S18	2443
NODE_B67_length_1722_cov_3.665046_S18	1370
NODE_A289_length_1703_cov_48.842558_S18	1705
NODE_A291_length_1699_cov_40.100493_S18	1524
NODE_B69_length_1695_cov_142.668109_S18	29716
NODE_A292_length_1694_cov_32.053803_S18	1393
NODE_A293_length_1693_cov_30.216584_S18	1124
NODE_A296_length_1687_cov_31.094410_S18	1078
NODE_B77_length_1669_cov_5.944724_S18	1842
NODE_A307_length_1668_cov_25.321810_S18	1558
NODE_B79_length_1659_cov_3.238938_S18	1086
NODE_A319_length_1635_cov_62.363928_S18	1653
NODE_A321_length_1630_cov_37.158403_S18	1419
NODE_B82_length_1622_cov_27.353398_S18	4759
NODE_A334_length_1616_cov_32.848603_S18	991
NODE_A347_length_1585_cov_72.267241_S18	2688
NODE_A354_length_1569_cov_33.674263_S18	1379
NODE_A357_length_1559_cov_33.354251_S18	1000
NODE_A364_length_1543_cov_40.913370_S18	1882
NODE_A373_length_1529_cov_81.174242_S18	3150
NODE_A375_length_1528_cov_75.216402_S18	1032
NODE_A380_length_1521_cov_32.484765_S18	1522
NODE_A386_length_1509_cov_234.356145_S18	6705
NODE_B110_length_1473_cov_21.853868_S18	6839
NODE_A418_length_1472_cov_27.145520_S18	1016
NODE_B118_length_1451_cov_2.545852_S18	940
NODE_B120_length_1442_cov_12.803663_S18	6051
NODE_A446_length_1433_cov_72.250737_S18	2684
NODE_A450_length_1429_cov_55.005917_S18	1432
NODE_B127_length_1421_cov_19.238095_S18	9719
NODE_A463_length_1419_cov_43.555887_S18	1227
NODE_B128_length_1417_cov_5.990299_S18	1372
NODE_A469_length_1415_cov_13.521674_S18	1019
NODE_A472_length_1409_cov_30.268769_S18	1006
NODE_A509_length_1380_cov_88.775134_S18	1035
NODE_A512_length_1378_cov_32.521138_S18	926
NODE_A532_length_1363_cov_61.828927_S18	1191
NODE_A545_length_1351_cov_22.043171_S18	1074
NODE_B141_length_1344_cov_5.543015_S18	930
NODE_B142_length_1342_cov_3.152569_S18	960
NODE_A560_length_1336_cov_72.632248_S18	1114
NODE_A580_length_1318_cov_33.921031_S18	898
