magnitudes	Hae6
NODE_A2285_length_712_cov_89.149606_S44	958
NODE_B177_length_710_cov_8.804107_S44	990
NODE_B204_length_660_cov_5.794168_S44	1278
NODE_C49_length_634_cov_9.766607_S44	4504
NODE_B249_length_609_cov_19.800752_S44	1421
NODE_C55_length_590_cov_1.157895_S44	667
NODE_A3883_length_575_cov_9.598394_S44	530
NODE_A4230_length_553_cov_24.039916_S44	450
NODE_A4926_length_521_cov_4.022523_S44	479
NODE_C70_length_518_cov_6.414966_S44	1750
NODE_A5432_length_500_cov_3.406619_S44	5956
NODE_A16_length_2469_cov_54.071488_S4	2725
NODE_B13_length_2266_cov_5.448607_S4	2171
NODE_A28_length_2150_cov_33.687892_S4	1528
NODE_A29_length_2081_cov_211.562874_S4	9664
NODE_A52_length_1704_cov_37.901659_S4	1344
NODE_A55_length_1686_cov_26.776880_S4	980
NODE_A73_length_1532_cov_37.426804_S4	1085
NODE_B26_length_1495_cov_5.338505_S4	1967
NODE_A85_length_1482_cov_32.071174_S4	964
NODE_A88_length_1468_cov_57.292595_S4	1752
NODE_A89_length_1468_cov_32.459382_S4	937
NODE_A101_length_1391_cov_31.816591_S4	925
NODE_A102_length_1389_cov_28.580793_S4	788
NODE_A139_length_1263_cov_38.103710_S4	966
NODE_A140_length_1255_cov_30.287776_S4	765
NODE_A148_length_1240_cov_40.277730_S4	1081
NODE_A150_length_1238_cov_33.418605_S4	870
NODE_A156_length_1228_cov_32.205039_S4	850
NODE_A164_length_1210_cov_29.559576_S4	772
NODE_A166_length_1206_cov_37.502214_S4	922
NODE_A172_length_1195_cov_19.234347_S4	1013
NODE_A178_length_1185_cov_46.051444_S4	1182
NODE_A184_length_1178_cov_30.655767_S4	722
NODE_A201_length_1143_cov_32.462477_S4	951
NODE_A215_length_1131_cov_32.848197_S4	3360
NODE_A228_length_1123_cov_28.733270_S4	675
NODE_A233_length_1115_cov_35.424855_S4	808
NODE_B63_length_1094_cov_2.602753_S4	1058
NODE_A250_length_1093_cov_51.743110_S4	1062
NODE_A264_length_1078_cov_42.713287_S4	1214
NODE_A277_length_1067_cov_47.090909_S4	1013
NODE_A297_length_1050_cov_29.016444_S4	607
NODE_A302_length_1046_cov_74.848297_S4	2792
NODE_A314_length_1037_cov_47.220833_S4	959
NODE_A318_length_1027_cov_45.285263_S4	949
NODE_A319_length_1026_cov_49.595364_S4	826
NODE_A331_length_1012_cov_29.227807_S4	585
NODE_A352_length_990_cov_41.299014_S4	839
NODE_A384_length_971_cov_39.671141_S4	744
NODE_A390_length_966_cov_51.763780_S4	995
NODE_A391_length_966_cov_35.001125_S4	621
NODE_A401_length_960_cov_41.764439_S4	988
NODE_A402_length_960_cov_28.443941_S4	629
NODE_A403_length_958_cov_33.784336_S4	634
NODE_A412_length_947_cov_31.951724_S4	641
NODE_A428_length_938_cov_12.997677_S4	1593
NODE_A430_length_936_cov_34.001164_S4	623
NODE_A433_length_934_cov_31.529755_S4	574
NODE_A449_length_924_cov_23.944510_S4	671
NODE_A453_length_919_cov_42.780285_S4	756
NODE_A481_length_903_cov_28.951574_S4	516
NODE_A491_length_898_cov_36.828258_S4	609
NODE_A492_length_898_cov_30.912302_S4	522
NODE_A494_length_897_cov_39.198780_S4	788
NODE_A495_length_896_cov_33.914530_S4	730
NODE_A510_length_892_cov_29.101840_S4	534
NODE_A529_length_883_cov_32.842432_S4	570
NODE_A535_length_882_cov_46.152795_S4	755
NODE_A543_length_878_cov_29.947566_S4	622
NODE_A562_length_871_cov_30.826196_S4	511
NODE_A566_length_868_cov_78.838180_S4	1536
NODE_A581_length_865_cov_30.861675_S4	603
NODE_A610_length_853_cov_42.322165_S4	705
NODE_A626_length_847_cov_59.500000_S4	949
NODE_A646_length_837_cov_36.271053_S4	574
NODE_A657_length_830_cov_34.972112_S4	546
NODE_A681_length_819_cov_26.016173_S4	518
NODE_A686_length_815_cov_20.291328_S4	680
NODE_A698_length_811_cov_126.523161_S4	1970
NODE_A699_length_811_cov_39.190736_S4	603
NODE_A706_length_808_cov_57.974008_S4	907
NODE_A715_length_802_cov_42.754483_S4	671
NODE_A721_length_800_cov_39.811895_S4	651
NODE_A740_length_793_cov_39.039106_S4	584
NODE_A794_length_780_cov_51.687055_S4	802
NODE_A799_length_778_cov_32.410842_S4	493
NODE_A800_length_778_cov_25.838802_S4	876
NODE_A802_length_778_cov_18.931526_S4	988
NODE_A813_length_774_cov_28.817791_S4	467
NODE_A857_length_758_cov_25.980910_S4	855
NODE_A867_length_755_cov_31.544248_S4	470
NODE_A902_length_746_cov_46.467862_S4	794
NODE_A930_length_739_cov_48.856495_S4	565
NODE_A934_length_738_cov_30.523449_S4	439
NODE_A947_length_733_cov_62.714939_S4	926
NODE_A985_length_721_cov_35.354037_S4	552
NODE_A991_length_719_cov_35.457944_S4	657
NODE_B247_length_717_cov_17.517187_S4	1692
NODE_A1038_length_711_cov_25.700315_S4	582
NODE_A1046_length_710_cov_16.638231_S4	993
NODE_A1076_length_704_cov_43.743222_S4	524
NODE_A1079_length_703_cov_31.014377_S4	454
NODE_A1080_length_703_cov_23.306709_S4	500
NODE_A1085_length_702_cov_50.243200_S4	442
NODE_A1086_length_702_cov_42.662400_S4	762
NODE_A1109_length_696_cov_44.558966_S4	583
NODE_A1119_length_694_cov_39.760130_S4	542
NODE_A1120_length_694_cov_28.226904_S4	584
NODE_B271_length_694_cov_4.954619_S4	522
NODE_A1126_length_693_cov_44.275974_S4	591
NODE_A1134_length_691_cov_28.578176_S4	391
NODE_A1143_length_690_cov_42.060359_S4	583
NODE_A1154_length_687_cov_28.660656_S4	439
NODE_A1173_length_684_cov_59.057661_S4	842
NODE_A1174_length_684_cov_26.230643_S4	709
NODE_A1179_length_683_cov_32.127063_S4	449
NODE_A1202_length_679_cov_28.528239_S4	402
NODE_A1215_length_676_cov_41.527546_S4	635
NODE_A1238_length_672_cov_16.216807_S4	613
NODE_A1244_length_670_cov_25.446880_S4	1329
NODE_A1249_length_670_cov_9.519393_S4	657
NODE_A1259_length_667_cov_30.772881_S4	506
NODE_A1269_length_665_cov_39.578231_S4	464
NODE_B320_length_660_cov_3.838765_S4	637
NODE_A1336_length_654_cov_35.876950_S4	449
NODE_A1346_length_652_cov_92.363478_S4	1372
NODE_A1347_length_652_cov_37.504348_S4	503
NODE_A1362_length_650_cov_29.095986_S4	414
NODE_A1374_length_648_cov_22.763573_S4	394
NODE_A1390_length_645_cov_66.007042_S4	845
NODE_A1395_length_645_cov_10.383803_S4	747
NODE_A1403_length_643_cov_34.399293_S4	438
NODE_A1408_length_642_cov_30.426549_S4	412
NODE_B355_length_639_cov_13.638790_S4	2144
NODE_A1432_length_638_cov_37.595365_S4	470
NODE_A1433_length_638_cov_34.272727_S4	394
NODE_A1444_length_636_cov_25.744186_S4	631
NODE_A1447_length_636_cov_11.631485_S4	676
NODE_A1452_length_635_cov_18.697133_S4	496
NODE_A1465_length_633_cov_22.532374_S4	935
NODE_B373_length_630_cov_4.007233_S4	415
NODE_A1505_length_627_cov_29.832727_S4	409
NODE_A1509_length_627_cov_10.114545_S4	1039
NODE_A1517_length_625_cov_48.713504_S4	650
NODE_A1535_length_623_cov_44.492674_S4	551
NODE_A1540_length_622_cov_34.959633_S4	503
NODE_A1552_length_620_cov_16.865562_S4	486
NODE_A1564_length_618_cov_47.839187_S4	569
NODE_A1565_length_618_cov_39.353050_S4	432
NODE_A1566_length_618_cov_28.112754_S4	357
NODE_A1567_length_618_cov_27.700555_S4	478
NODE_A1573_length_617_cov_35.287037_S4	398
NODE_A1588_length_615_cov_58.920074_S4	686
NODE_A1627_length_610_cov_46.258912_S4	522
NODE_A1636_length_609_cov_42.842105_S4	472
NODE_A1644_length_608_cov_14.536723_S4	656
NODE_A1666_length_605_cov_41.878788_S4	616
NODE_A1677_length_604_cov_37.850095_S4	425
NODE_A1684_length_603_cov_33.686312_S4	422
NODE_A1688_length_602_cov_33.777143_S4	446
NODE_A1689_length_602_cov_32.217143_S4	412
NODE_A1710_length_599_cov_30.436782_S4	361
NODE_A1721_length_598_cov_20.965451_S4	497
NODE_A1740_length_596_cov_9.599229_S4	627
NODE_A1776_length_591_cov_46.398833_S4	517
NODE_A1805_length_588_cov_57.589041_S4	623
NODE_A1830_length_586_cov_16.284872_S4	532
NODE_A1863_length_582_cov_32.095050_S4	331
NODE_B495_length_582_cov_5.047525_S4	512
NODE_A1903_length_578_cov_46.732535_S4	518
NODE_A1904_length_578_cov_35.850299_S4	1390
NODE_A1932_length_575_cov_50.122490_S4	585
NODE_A1933_length_575_cov_45.572289_S4	533
NODE_B511_length_575_cov_2.361446_S4	926
NODE_B513_length_574_cov_2.384306_S4	2126
NODE_A1978_length_571_cov_31.971660_S4	341
NODE_A1996_length_569_cov_67.302846_S4	740
NODE_A2005_length_568_cov_31.818737_S4	372
NODE_A2016_length_567_cov_38.704082_S4	403
NODE_A2026_length_566_cov_33.734151_S4	396
NODE_A2063_length_563_cov_36.088477_S4	576
NODE_A2064_length_563_cov_28.411523_S4	355
NODE_A2094_length_561_cov_38.677686_S4	391
NODE_A2138_length_558_cov_11.835759_S4	1208
NODE_A2161_length_556_cov_38.724426_S4	414
NODE_B574_length_554_cov_2.656184_S4	1142
NODE_A2225_length_552_cov_13.406316_S4	799
NODE_A2241_length_551_cov_39.843882_S4	417
NODE_A2242_length_551_cov_31.829114_S4	348
NODE_A2243_length_551_cov_28.244726_S4	433
NODE_A2257_length_550_cov_54.826156_S4	706
NODE_A2258_length_550_cov_23.919662_S4	339
NODE_A2304_length_547_cov_22.131915_S4	407
NODE_A2317_length_546_cov_32.095949_S4	535
NODE_A2318_length_546_cov_29.825160_S4	374
NODE_A2320_length_546_cov_21.812367_S4	1300
NODE_A2324_length_546_cov_14.550107_S4	488
NODE_A2342_length_544_cov_29.948608_S4	339
NODE_A2357_length_543_cov_36.699571_S4	407
NODE_A2384_length_541_cov_50.407328_S4	566
NODE_A2385_length_541_cov_28.000000_S4	598
NODE_A2387_length_541_cov_24.079741_S4	438
NODE_A2437_length_537_cov_8.989130_S4	586
NODE_A2443_length_536_cov_50.202614_S4	500
NODE_A2455_length_535_cov_34.558952_S4	428
NODE_A2456_length_535_cov_22.888646_S4	426
NODE_A2500_length_532_cov_21.065934_S4	408
NODE_A2518_length_531_cov_60.198238_S4	600
NODE_A2539_length_529_cov_33.115044_S4	406
NODE_A2540_length_529_cov_27.745575_S4	358
NODE_A2572_length_527_cov_35.933333_S4	363
NODE_A2584_length_526_cov_36.757238_S4	372
NODE_B690_length_526_cov_4.155902_S4	374
NODE_B696_length_525_cov_2.482143_S4	565
NODE_B702_length_524_cov_2.657718_S4	449
NODE_A2651_length_521_cov_23.157658_S4	393
NODE_A2675_length_520_cov_11.121896_S4	783
NODE_A2711_length_518_cov_33.721088_S4	509
NODE_A2712_length_518_cov_15.378685_S4	465
NODE_A2723_length_517_cov_23.318182_S4	392
NODE_A2728_length_517_cov_15.520455_S4	546
NODE_A2778_length_514_cov_25.881007_S4	816
NODE_A2782_length_514_cov_15.068650_S4	472
NODE_A2795_length_513_cov_31.034404_S4	738
NODE_A2797_length_513_cov_29.353211_S4	409
NODE_A2838_length_511_cov_33.029954_S4	306
NODE_A2854_length_510_cov_35.147806_S4	361
NODE_B776_length_510_cov_2.602771_S4	716
NODE_A2899_length_507_cov_30.813953_S4	317
NODE_A2919_length_506_cov_21.699301_S4	604
NODE_A2942_length_505_cov_13.754673_S4	537
NODE_A2951_length_505_cov_5.362150_S4	617
NODE_A2955_length_504_cov_33.861827_S4	295
NODE_A3001_length_502_cov_27.828235_S4	892
NODE_A3043_length_500_cov_54.491726_S4	505
NODE_A3044_length_500_cov_40.290780_S4	347
NODE_A239_length_557_cov_2.210417_S45	1568
NODE_A10_length_4954_cov_30.542137_S47	15304
NODE_A11_length_4410_cov_28.484883_S47	21017
NODE_A12_length_4359_cov_20.546240_S47	6636
NODE_A14_length_4051_cov_55.716910_S47	27053
NODE_A15_length_3956_cov_16.892756_S47	3373
NODE_A17_length_3918_cov_42.201510_S47	10903
NODE_A18_length_3912_cov_22.781226_S47	5377
NODE_A51_length_1800_cov_35.014510_S47	4535
NODE_A59_length_1675_cov_32.861076_S47	1418
NODE_A73_length_1522_cov_23.752249_S47	1988
NODE_A80_length_1472_cov_32.868817_S47	3636
NODE_A128_length_1281_cov_19.792359_S47	2188
NODE_A146_length_1229_cov_14.794271_S47	2075
NODE_A382_length_857_cov_17.211538_S47	1745
NODE_A538_length_763_cov_12.788630_S47	880
NODE_B126_length_745_cov_4.853293_S47	2397
NODE_B143_length_703_cov_2.392971_S47	1877
NODE_A717_length_702_cov_11.080000_S47	821
NODE_C53_length_683_cov_1.191419_S47	2752
NODE_A984_length_638_cov_29.946524_S47	610
NODE_A1366_length_575_cov_14.913655_S47	639
NODE_A1450_length_567_cov_8.887755_S47	719
NODE_A1583_length_555_cov_1.638075_S47	1020
NODE_A1867_length_534_cov_2.803063_S47	866
NODE_C75_length_530_cov_2.013245_S47	3591
NODE_B264_length_518_cov_7.852608_S47	1335
NODE_A2408_length_503_cov_45.643192_S47	940
NODE_A2_length_16366_cov_68.635644_S6	14626
NODE_A2653_length_537_cov_13.343478_S6	623
NODE_A127_length_5008_cov_38.210911_S7	4647
NODE_A226_length_4128_cov_107.114293_S7	8661
NODE_B4_length_4026_cov_27.587744_S7	11049
NODE_A340_length_3380_cov_50.720860_S7	6050
NODE_A378_length_3183_cov_37.972956_S7	5199
NODE_A503_length_2733_cov_13.818148_S7	2812
NODE_B14_length_2678_cov_8.397924_S7	3758
NODE_A678_length_2233_cov_66.287106_S7	3036
NODE_A766_length_2007_cov_64.114508_S7	3348
NODE_C4_length_1696_cov_15.546634_S7	6125
NODE_B111_length_1410_cov_6.499625_S7	6396
NODE_B125_length_1370_cov_10.313225_S7	3593
NODE_A1197_length_1351_cov_33.031397_S7	2473
NODE_A1235_length_1310_cov_33.695053_S7	1388
NODE_B270_length_1066_cov_26.274014_S7	1149
NODE_A1908_length_851_cov_22.959948_S7	1536
NODE_A1983_length_820_cov_2.971736_S7	1014
NODE_A2165_length_776_cov_38.236052_S7	1599
NODE_B698_length_768_cov_65.464544_S7	3520
NODE_C25_length_767_cov_1.389855_S7	725
NODE_C26_length_765_cov_9.020349_S7	5204
NODE_B854_length_708_cov_5.022187_S7	758
NODE_A2551_length_706_cov_27.963434_S7	1162
NODE_A2589_length_701_cov_78.690705_S7	1244
NODE_A2627_length_696_cov_11.277868_S7	991
NODE_A2947_length_658_cov_4.841652_S7	769
NODE_A2953_length_657_cov_26.453448_S7	1106
NODE_A2966_length_655_cov_5.358131_S7	488
NODE_A3074_length_646_cov_17.695958_S7	790
NODE_A3511_length_616_cov_1.925788_S7	515
NODE_A3558_length_613_cov_12.386194_S7	886
NODE_A3605_length_610_cov_5.941839_S7	965
NODE_A3640_length_608_cov_3.015066_S7	1405
NODE_A3683_length_605_cov_8.816288_S7	1631
NODE_B1279_length_596_cov_5.375723_S7	1136
NODE_A4257_length_577_cov_2.646000_S7	1016
NODE_A4292_length_575_cov_4.634538_S7	465
NODE_C52_length_566_cov_0.670757_S7	549
NODE_A4541_length_565_cov_3.567623_S7	648
NODE_A4717_length_558_cov_6.979210_S7	495
NODE_A4816_length_555_cov_3.123431_S7	506
NODE_A4847_length_554_cov_50.587002_S7	1600
NODE_A4940_length_551_cov_2.609705_S7	707
NODE_A5309_length_540_cov_2.375810_S7	379
NODE_A5393_length_537_cov_6.343478_S7	1672
NODE_A5494_length_535_cov_1.890830_S7	562
NODE_B1642_length_533_cov_33.129386_S7	1236
NODE_A5566_length_532_cov_3.956044_S7	563
NODE_A5642_length_530_cov_2.545254_S7	670
NODE_A6164_length_518_cov_2.068027_S7	1001
NODE_C70_length_517_cov_2.540909_S7	544
NODE_A6318_length_514_cov_6.118993_S7	756
NODE_A6614_length_509_cov_1.284722_S7	593
NODE_B1779_length_509_cov_3.030093_S7	1009
NODE_A6628_length_508_cov_3.422274_S7	671
NODE_A6964_length_502_cov_2.312941_S7	799
NODE_A7070_length_500_cov_3.458629_S7	509
NODE_A7081_length_500_cov_2.657210_S7	636
NODE_A14_length_5071_cov_28.907889_S9	22089
NODE_A49_length_3429_cov_19.844272_S9	8511
NODE_A96_length_2876_cov_13.640586_S9	8080
NODE_A1113_length_1152_cov_19.960930_S9	2344
NODE_A1503_length_1018_cov_8.997875_S9	3725
NODE_A2454_length_815_cov_33.537940_S9	1269
NODE_A2490_length_810_cov_8.710778_S9	675
NODE_A2642_length_787_cov_21.030986_S9	1363
NODE_A2690_length_781_cov_12.112216_S9	1076
NODE_A2951_length_748_cov_41.186289_S9	2710
NODE_C14_length_713_cov_2.070755_S9	1772
NODE_A3389_length_699_cov_6.162379_S9	568
NODE_B261_length_636_cov_3.021467_S9	1983
NODE_C23_length_602_cov_674.215238_S9	47189
NODE_B307_length_601_cov_11.301527_S9	1945
NODE_A5116_length_569_cov_7.256098_S9	1091
NODE_B359_length_568_cov_2.099796_S9	601
NODE_B362_length_566_cov_10.361963_S9	2835
NODE_B377_length_558_cov_5.517672_S9	1316
