magnitudes	PMG_SW_5
NODE_A2296_length_580_cov_26.616302_S21	461
NODE_A2308_length_579_cov_45.135458_S21	468
NODE_A2309_length_579_cov_41.782869_S21	423
NODE_A2330_length_577_cov_32.166000_S21	324
NODE_B779_length_576_cov_6.557114_S21	916
NODE_A2367_length_574_cov_48.327968_S21	524
NODE_A2393_length_572_cov_32.123232_S21	428
NODE_A2395_length_572_cov_23.159596_S21	460
NODE_A2405_length_571_cov_44.052632_S21	450
NODE_A2425_length_569_cov_42.843496_S21	497
NODE_A2446_length_567_cov_33.773469_S21	337
NODE_A2463_length_565_cov_70.081967_S21	809
NODE_A2465_length_565_cov_31.565574_S21	333
NODE_A2488_length_563_cov_64.144033_S21	801
NODE_B836_length_563_cov_4.596708_S21	350
NODE_A2503_length_562_cov_51.861856_S21	542
NODE_A2536_length_560_cov_59.022774_S21	689
NODE_A2585_length_557_cov_34.172917_S21	455
NODE_B872_length_556_cov_1.691023_S21	417
NODE_A2617_length_555_cov_35.309623_S21	400
NODE_A2639_length_553_cov_23.176471_S21	483
NODE_A2681_length_550_cov_97.057082_S21	970
NODE_A2682_length_550_cov_30.369979_S21	321
NODE_A2705_length_549_cov_36.133475_S21	397
NODE_A2736_length_547_cov_49.944681_S21	522
NODE_A2738_length_547_cov_32.180851_S21	409
NODE_A2752_length_546_cov_41.027719_S21	382
NODE_A2772_length_545_cov_29.876068_S21	323
NODE_A2781_length_544_cov_27.304069_S21	443
NODE_A2792_length_543_cov_29.394850_S21	353
NODE_A2823_length_540_cov_43.319654_S21	430
NODE_A2876_length_536_cov_40.481481_S21	408
NODE_A2880_length_535_cov_29.382096_S21	350
NODE_B980_length_534_cov_3.299781_S21	336
NODE_A2907_length_533_cov_59.500000_S21	602
NODE_A2908_length_533_cov_43.296053_S21	452
NODE_A2920_length_532_cov_166.101099_S21	1710
NODE_A2921_length_532_cov_44.619780_S21	444
NODE_A2922_length_532_cov_32.147253_S21	307
NODE_A2963_length_529_cov_32.349558_S21	313
NODE_A2976_length_528_cov_40.977827_S21	439
NODE_A2987_length_527_cov_41.777778_S21	415
NODE_A3021_length_525_cov_49.238839_S21	515
NODE_A3023_length_525_cov_32.033482_S21	301
NODE_A3024_length_525_cov_29.654018_S21	328
NODE_A3060_length_523_cov_10.410314_S21	712
NODE_A3084_length_521_cov_22.822072_S21	407
NODE_A3100_length_520_cov_73.119639_S21	860
NODE_A3101_length_520_cov_42.656885_S21	404
NODE_A3122_length_519_cov_69.902715_S21	740
NODE_A3138_length_518_cov_26.489796_S21	351
NODE_A3158_length_517_cov_120.743182_S21	2132
NODE_A3198_length_515_cov_42.449772_S21	446
NODE_A3199_length_515_cov_30.874429_S21	338
NODE_A3216_length_514_cov_35.228833_S21	351
NODE_B1121_length_514_cov_2.704805_S21	398
NODE_A3237_length_513_cov_46.474771_S21	430
NODE_A3238_length_513_cov_40.896789_S21	402
NODE_B1128_length_513_cov_5.711009_S21	615
NODE_A3280_length_511_cov_101.741935_S21	945
NODE_A3281_length_511_cov_40.115207_S21	452
NODE_A3343_length_508_cov_71.450116_S21	768
NODE_A3366_length_507_cov_29.062791_S21	329
NODE_A3392_length_506_cov_33.496503_S21	308
NODE_A3393_length_506_cov_29.573427_S21	333
NODE_A3411_length_505_cov_51.257009_S21	502
NODE_A3434_length_504_cov_38.459016_S21	392
NODE_A3435_length_504_cov_29.124122_S21	311
NODE_A3458_length_503_cov_37.138498_S21	367
NODE_A3459_length_503_cov_37.018779_S21	322
NODE_A3498_length_501_cov_50.570755_S21	452
NODE_A3499_length_501_cov_38.254717_S21	376
NODE_B178_length_798_cov_8.732316_S22	855
NODE_B348_length_606_cov_10.052930_S22	695
NODE_A1359_length_583_cov_4.371542_S22	494
NODE_B539_length_515_cov_6.582192_S22	1380
NODE_B556_length_509_cov_6.122685_S22	725
NODE_A2014_length_508_cov_27.069606_S22	705
NODE_A407_length_797_cov_5.729167_S23	695
NODE_A562_length_692_cov_14.731707_S23	1719
NODE_A1170_length_507_cov_16.065116_S23	997
NODE_A23_length_3205_cov_47.009591_S24	2430
NODE_A108_length_1495_cov_8.904795_S24	1052
NODE_A129_length_1380_cov_47.116654_S24	1358
NODE_A206_length_1148_cov_67.285714_S24	1350
NODE_A322_length_999_cov_24.447939_S24	1465
NODE_A337_length_985_cov_17.323789_S24	635
