magnitudes	Hae_CF
NODE_A2256_length_514_cov_35.430206_S27	369
NODE_A2324_length_511_cov_38.437788_S27	422
NODE_A2325_length_511_cov_37.525346_S27	366
NODE_A2328_length_511_cov_17.347926_S27	982
NODE_A2355_length_509_cov_52.747685_S27	585
NODE_A2393_length_507_cov_18.227907_S27	565
NODE_A2442_length_505_cov_30.852804_S27	288
NODE_A2455_length_505_cov_9.121495_S27	834
NODE_A217_length_4354_cov_41.827683_S30	13493
NODE_A396_length_3294_cov_37.682002_S30	7485
NODE_A740_length_2540_cov_30.229801_S30	3563
NODE_A843_length_2403_cov_23.261393_S30	1828
NODE_B117_length_1627_cov_38.383226_S30	6640
NODE_A2230_length_1582_cov_38.398007_S30	2595
NODE_A3055_length_1381_cov_19.690184_S30	1592
NODE_B324_length_1146_cov_24.715622_S30	12301
NODE_A5009_length_1091_cov_14.744576_S30	1378
NODE_A5787_length_1020_cov_13.089077_S30	2282
NODE_B455_length_1010_cov_3.448017_S30	2007
NODE_A8007_length_859_cov_21.570332_S30	1146
NODE_A10067_length_756_cov_14.103093_S30	1912
NODE_A10946_length_721_cov_5.829193_S30	1201
NODE_B1439_length_667_cov_2.803390_S30	808
NODE_A12809_length_656_cov_5.428325_S30	749
NODE_B1844_length_609_cov_4.674812_S30	1253
NODE_B1851_length_608_cov_3.261770_S30	5324
NODE_A14633_length_605_cov_11.333333_S30	687
NODE_A17034_length_552_cov_31.951579_S30	1213
NODE_A17496_length_543_cov_19.789700_S30	568
NODE_C108_length_529_cov_0.703540_S30	596
NODE_A19584_length_506_cov_12.095571_S30	502
NODE_B225_length_548_cov_0.738854_S33	5348
NODE_A150_length_1248_cov_28.818958_S34	14276
NODE_A347_length_850_cov_8.554981_S34	1575
NODE_B64_length_804_cov_1.617607_S34	2900
NODE_B89_length_704_cov_2.194577_S34	3776
NODE_A948_length_620_cov_5.795580_S34	928
NODE_A1253_length_572_cov_4.385859_S34	526
NODE_A1474_length_548_cov_3.624204_S34	1863
NODE_A1627_length_536_cov_3.418301_S34	1073
NODE_A1768_length_525_cov_5.167411_S34	467
NODE_A1871_length_517_cov_5.336364_S34	464
NODE_A255_length_974_cov_6.739130_S37	9954
NODE_B248_length_527_cov_0.757778_S37	1541
NODE_A1223_length_502_cov_2.755294_S41	635
NODE_A27_length_3481_cov_93.207109_S42	34709
NODE_A60_length_1805_cov_17.223380_S42	3729
NODE_A75_length_1524_cov_33.284727_S42	2709
NODE_A146_length_1032_cov_20.401047_S42	1792
NODE_A299_length_669_cov_13.069257_S42	2382
NODE_B174_length_554_cov_1.639413_S42	1593
NODE_A456_length_550_cov_23.118393_S42	582
NODE_B184_length_539_cov_1.329004_S42	427
NODE_A496_length_529_cov_29.893805_S42	2018
NODE_A225_length_1160_cov_5.741459_S43	2958
NODE_A434_length_695_cov_35.163430_S43	2017
NODE_A476_length_653_cov_0.909722_S43	817
NODE_A685_length_524_cov_2.297539_S43	855
NODE_A11_length_4493_cov_30.246150_S44	10137
NODE_B12_length_4427_cov_19.298161_S44	23672
NODE_A13_length_4398_cov_37.690812_S44	8906
NODE_A26_length_3423_cov_34.191273_S44	4769
NODE_A38_length_2762_cov_50.316946_S44	4892
NODE_A305_length_1382_cov_17.423755_S44	3066
NODE_B107_length_971_cov_2.695749_S44	949
NODE_C25_length_858_cov_6.763124_S44	3852
NODE_A1348_length_856_cov_11.942234_S44	1039
NODE_A1460_length_832_cov_22.376159_S44	1202
NODE_A1959_length_749_cov_5.059524_S44	3032
NODE_B165_length_749_cov_17.587798_S44	2944
NODE_A2285_length_712_cov_89.149606_S44	846
NODE_B177_length_710_cov_8.804107_S44	866
NODE_B204_length_660_cov_5.794168_S44	2238
NODE_C49_length_634_cov_9.766607_S44	5481
NODE_B249_length_609_cov_19.800752_S44	1204
NODE_C55_length_590_cov_1.157895_S44	737
NODE_A3847_length_577_cov_5.690000_S44	414
NODE_A3883_length_575_cov_9.598394_S44	744
NODE_A4042_length_564_cov_9.513347_S44	1398
NODE_A4230_length_553_cov_24.039916_S44	498
NODE_A4926_length_521_cov_4.022523_S44	555
NODE_C70_length_518_cov_6.414966_S44	1986
NODE_A5432_length_500_cov_3.406619_S44	8864
NODE_A29_length_2081_cov_211.562874_S4	3900
NODE_A215_length_1131_cov_32.848197_S4	2487
NODE_A302_length_1046_cov_74.848297_S4	1879
NODE_A802_length_778_cov_18.931526_S4	826
NODE_B247_length_717_cov_17.517187_S4	1591
NODE_A1046_length_710_cov_16.638231_S4	1060
NODE_A1244_length_670_cov_25.446880_S4	1006
NODE_A1395_length_645_cov_10.383803_S4	785
NODE_B355_length_639_cov_13.638790_S4	2570
NODE_A1447_length_636_cov_11.631485_S4	807
NODE_A1465_length_633_cov_22.532374_S4	691
NODE_A1509_length_627_cov_10.114545_S4	758
NODE_B513_length_574_cov_2.384306_S4	1614
NODE_A2138_length_558_cov_11.835759_S4	1525
NODE_A2225_length_552_cov_13.406316_S4	1001
NODE_A2320_length_546_cov_21.812367_S4	1337
NODE_B776_length_510_cov_2.602771_S4	1239
NODE_A2951_length_505_cov_5.362150_S4	1034
NODE_A3001_length_502_cov_27.828235_S4	549
NODE_A239_length_557_cov_2.210417_S45	1776
NODE_A10_length_4954_cov_30.542137_S47	14353
NODE_A11_length_4410_cov_28.484883_S47	18016
NODE_A12_length_4359_cov_20.546240_S47	5603
NODE_A14_length_4051_cov_55.716910_S47	26106
NODE_A15_length_3956_cov_16.892756_S47	4009
NODE_A17_length_3918_cov_42.201510_S47	11051
NODE_A18_length_3912_cov_22.781226_S47	5469
NODE_A51_length_1800_cov_35.014510_S47	6201
NODE_A59_length_1675_cov_32.861076_S47	2183
NODE_A73_length_1522_cov_23.752249_S47	2198
NODE_A80_length_1472_cov_32.868817_S47	2800
NODE_A128_length_1281_cov_19.792359_S47	2228
NODE_A146_length_1229_cov_14.794271_S47	1597
NODE_B78_length_927_cov_1.501176_S47	730
NODE_A382_length_857_cov_17.211538_S47	886
NODE_A538_length_763_cov_12.788630_S47	1180
NODE_B126_length_745_cov_4.853293_S47	3898
NODE_B143_length_703_cov_2.392971_S47	3045
NODE_A747_length_692_cov_9.126829_S47	1259
NODE_C53_length_683_cov_1.191419_S47	2291
NODE_A984_length_638_cov_29.946524_S47	791
NODE_A1366_length_575_cov_14.913655_S47	612
NODE_A1450_length_567_cov_8.887755_S47	409
NODE_A1583_length_555_cov_1.638075_S47	1402
NODE_A1867_length_534_cov_2.803063_S47	825
NODE_C75_length_530_cov_2.013245_S47	4086
NODE_B264_length_518_cov_7.852608_S47	1097
NODE_A2408_length_503_cov_45.643192_S47	905
NODE_A127_length_5008_cov_38.210911_S7	5152
NODE_A226_length_4128_cov_107.114293_S7	7693
NODE_B4_length_4026_cov_27.587744_S7	10883
NODE_A340_length_3380_cov_50.720860_S7	7087
NODE_A378_length_3183_cov_37.972956_S7	5771
NODE_A503_length_2733_cov_13.818148_S7	3424
NODE_B14_length_2678_cov_8.397924_S7	3647
NODE_A678_length_2233_cov_66.287106_S7	3198
NODE_A766_length_2007_cov_64.114508_S7	3169
NODE_C4_length_1696_cov_15.546634_S7	7692
NODE_A1082_length_1491_cov_31.242574_S7	1710
NODE_B111_length_1410_cov_6.499625_S7	7773
NODE_B125_length_1370_cov_10.313225_S7	4758
NODE_A1197_length_1351_cov_33.031397_S7	2315
NODE_A1235_length_1310_cov_33.695053_S7	1182
NODE_B171_length_1221_cov_2.945804_S7	876
NODE_A1444_length_1120_cov_9.078619_S7	757
NODE_B270_length_1066_cov_26.274014_S7	1178
NODE_A1908_length_851_cov_22.959948_S7	1588
NODE_A1983_length_820_cov_2.971736_S7	1009
NODE_A2165_length_776_cov_38.236052_S7	997
NODE_B698_length_768_cov_65.464544_S7	4849
NODE_C25_length_767_cov_1.389855_S7	925
NODE_C26_length_765_cov_9.020349_S7	10872
NODE_A2429_length_724_cov_24.188563_S7	642
NODE_A2457_length_719_cov_2.788162_S7	727
NODE_B854_length_708_cov_5.022187_S7	997
NODE_A2551_length_706_cov_27.963434_S7	1183
NODE_A2589_length_701_cov_78.690705_S7	1104
NODE_A2627_length_696_cov_11.277868_S7	1567
NODE_A2713_length_684_cov_16.056013_S7	567
NODE_A2947_length_658_cov_4.841652_S7	669
NODE_A2953_length_657_cov_26.453448_S7	2086
NODE_A3074_length_646_cov_17.695958_S7	1337
NODE_A3438_length_620_cov_15.736648_S7	635
NODE_A3511_length_616_cov_1.925788_S7	1023
NODE_A3558_length_613_cov_12.386194_S7	1420
NODE_A3605_length_610_cov_5.941839_S7	1149
NODE_A3640_length_608_cov_3.015066_S7	1793
NODE_A3683_length_605_cov_8.816288_S7	1826
NODE_A3830_length_597_cov_3.001923_S7	600
NODE_B1279_length_596_cov_5.375723_S7	827
NODE_A3986_length_588_cov_3.142857_S7	716
NODE_A4257_length_577_cov_2.646000_S7	1155
NODE_A4541_length_565_cov_3.567623_S7	824
NODE_A4717_length_558_cov_6.979210_S7	496
NODE_A4847_length_554_cov_50.587002_S7	2100
NODE_A4940_length_551_cov_2.609705_S7	1119
NODE_A5153_length_544_cov_9.286938_S7	697
NODE_A5393_length_537_cov_6.343478_S7	2397
NODE_A5494_length_535_cov_1.890830_S7	618
NODE_A5566_length_532_cov_3.956044_S7	864
NODE_A5847_length_525_cov_2.357143_S7	647
NODE_A5975_length_522_cov_2.631461_S7	560
NODE_A6017_length_521_cov_3.533784_S7	535
NODE_A6164_length_518_cov_2.068027_S7	738
NODE_C70_length_517_cov_2.540909_S7	1115
NODE_A6318_length_514_cov_6.118993_S7	855
NODE_A6356_length_514_cov_1.718535_S7	629
NODE_A6388_length_513_cov_3.263761_S7	571
NODE_B1779_length_509_cov_3.030093_S7	1288
NODE_A6628_length_508_cov_3.422274_S7	709
NODE_A6634_length_508_cov_2.798144_S7	328
NODE_A6964_length_502_cov_2.312941_S7	1050
NODE_A7070_length_500_cov_3.458629_S7	555
NODE_A14_length_5071_cov_28.907889_S9	19740
NODE_A49_length_3429_cov_19.844272_S9	6695
NODE_A96_length_2876_cov_13.640586_S9	8117
NODE_A1113_length_1152_cov_19.960930_S9	2620
NODE_A1503_length_1018_cov_8.997875_S9	2558
NODE_A2454_length_815_cov_33.537940_S9	880
NODE_A2642_length_787_cov_21.030986_S9	1725
NODE_A2951_length_748_cov_41.186289_S9	2579
NODE_C14_length_713_cov_2.070755_S9	2036
NODE_B261_length_636_cov_3.021467_S9	1647
NODE_C23_length_602_cov_674.215238_S9	285179
NODE_B307_length_601_cov_11.301527_S9	2194
NODE_A5116_length_569_cov_7.256098_S9	1171
NODE_B359_length_568_cov_2.099796_S9	482
NODE_B362_length_566_cov_10.361963_S9	3533
NODE_B377_length_558_cov_5.517672_S9	1120
