magnitudes	CF6_6
NODE_A512_length_861_cov_23.734694_S36	767
NODE_A513_length_861_cov_6.042092_S36	2163
NODE_B154_length_861_cov_5.053571_S36	1162
NODE_A518_length_860_cov_5.767561_S36	782
NODE_B155_length_860_cov_7.047254_S36	1012
NODE_A520_length_858_cov_18.973111_S36	931
NODE_A522_length_857_cov_7.514103_S36	1521
NODE_A525_length_855_cov_19.413882_S36	3282
NODE_B157_length_854_cov_11.918919_S36	6791
NODE_B158_length_854_cov_5.602317_S36	1552
NODE_A528_length_853_cov_15.328608_S36	1311
NODE_A532_length_852_cov_10.923871_S36	863
NODE_A533_length_852_cov_7.174194_S36	2795
NODE_A534_length_852_cov_6.110968_S36	2274
NODE_A539_length_848_cov_9.766537_S36	2334
NODE_A542_length_846_cov_6.330299_S36	1029
NODE_A545_length_845_cov_3.472656_S36	2749
NODE_A546_length_844_cov_54.513690_S36	2417
NODE_A547_length_842_cov_7.053595_S36	768
NODE_A550_length_839_cov_4.250656_S36	995
NODE_A552_length_837_cov_31.831579_S36	1171
NODE_A554_length_836_cov_4.031621_S36	748
NODE_A557_length_834_cov_5.663144_S36	1631
NODE_A559_length_832_cov_5.523179_S36	767
NODE_A564_length_828_cov_14.806924_S36	639
NODE_A565_length_828_cov_13.320905_S36	1712
NODE_A569_length_827_cov_12.317333_S36	1114
NODE_A578_length_821_cov_5.880376_S36	986
NODE_A580_length_820_cov_16.275908_S36	995
NODE_B179_length_820_cov_2.928668_S36	788
NODE_A584_length_819_cov_19.123989_S36	1181
NODE_A585_length_819_cov_4.211590_S36	1367
NODE_B181_length_818_cov_1.766532_S36	2022
NODE_A588_length_816_cov_20.944520_S36	1403
NODE_A589_length_816_cov_11.740189_S36	859
NODE_A590_length_816_cov_5.410014_S36	1162
NODE_B184_length_814_cov_6.407056_S36	4016
NODE_B185_length_812_cov_13.715646_S36	7815
NODE_A595_length_810_cov_5.971351_S36	1152
NODE_B187_length_809_cov_8.267760_S36	10974
NODE_B188_length_809_cov_5.632514_S36	1668
NODE_A603_length_805_cov_37.545330_S36	1020
NODE_B191_length_805_cov_2.486264_S36	2214
NODE_A606_length_803_cov_16.831956_S36	1149
NODE_A612_length_801_cov_5.987569_S36	1312
NODE_A617_length_799_cov_8.042936_S36	974
NODE_A618_length_798_cov_15.206657_S36	648
NODE_A619_length_798_cov_9.990291_S36	718
NODE_A624_length_796_cov_8.735744_S36	1147
NODE_A625_length_796_cov_7.273992_S36	977
NODE_A627_length_792_cov_10.553846_S36	7661
NODE_B196_length_790_cov_5.333801_S36	1662
NODE_A631_length_789_cov_13.987360_S36	1700
NODE_A640_length_787_cov_26.023944_S36	1342
NODE_A641_length_787_cov_12.592958_S36	636
NODE_A646_length_786_cov_2.820874_S36	874
NODE_A652_length_783_cov_13.933428_S36	990
NODE_A654_length_782_cov_10.860993_S36	747
NODE_A657_length_782_cov_5.510638_S36	3411
NODE_B208_length_782_cov_15.259574_S36	18226
NODE_B209_length_782_cov_4.933333_S36	1495
NODE_B215_length_779_cov_3.609687_S36	2083
NODE_A665_length_778_cov_10.649073_S36	835
NODE_A667_length_777_cov_6.907143_S36	2248
NODE_B219_length_776_cov_9.414878_S36	8247
NODE_B222_length_776_cov_4.121602_S36	4722
NODE_A675_length_772_cov_8.854676_S36	1266
NODE_A683_length_770_cov_81.744589_S36	4637
NODE_A685_length_770_cov_5.880231_S36	541
NODE_B228_length_770_cov_3.010101_S36	1231
NODE_B230_length_769_cov_3.523121_S36	1116
NODE_C5_length_769_cov_10.556358_S36	73875
NODE_A691_length_768_cov_18.589001_S36	936
NODE_A697_length_765_cov_10.081395_S36	1864
NODE_B235_length_763_cov_3.154519_S36	17640
NODE_A702_length_761_cov_15.214912_S36	2169
NODE_A706_length_760_cov_7.210835_S36	639
NODE_A708_length_760_cov_5.711567_S36	851
NODE_A710_length_759_cov_14.564516_S36	1678
NODE_A712_length_759_cov_4.199413_S36	1655
NODE_A714_length_758_cov_37.133627_S36	5986
NODE_A719_length_757_cov_11.870588_S36	3048
NODE_A720_length_757_cov_9.722059_S36	3110
NODE_A722_length_756_cov_5.496318_S36	1049
NODE_A730_length_754_cov_2.326440_S36	6494
NODE_A732_length_753_cov_18.849112_S36	716
NODE_A736_length_752_cov_6.899259_S36	1404
NODE_A738_length_751_cov_10.728487_S36	931
NODE_A739_length_751_cov_6.961424_S36	914
NODE_B242_length_751_cov_18.878338_S36	6042
NODE_A741_length_750_cov_14.347697_S36	612
NODE_B244_length_750_cov_7.573551_S36	7639
NODE_A746_length_749_cov_10.110119_S36	1149
NODE_A747_length_749_cov_3.735119_S36	912
NODE_A750_length_748_cov_4.135618_S36	1068
NODE_B246_length_748_cov_5.611028_S36	8018
NODE_B247_length_747_cov_3.677612_S36	691
NODE_B249_length_746_cov_9.938714_S36	4184
NODE_B251_length_746_cov_2.705531_S36	1926
NODE_A760_length_744_cov_10.539730_S36	794
NODE_A762_length_744_cov_4.139430_S36	821
NODE_B254_length_744_cov_6.475262_S36	3180
NODE_A765_length_743_cov_11.986486_S36	965
NODE_A769_length_742_cov_9.018045_S36	855
NODE_B257_length_741_cov_3.945783_S36	2913
NODE_A775_length_739_cov_15.086103_S36	2390
NODE_A780_length_738_cov_8.006051_S36	608
NODE_B262_length_737_cov_3.463636_S36	1409
NODE_B264_length_735_cov_22.793313_S36	5270
NODE_B265_length_735_cov_2.699088_S36	610
NODE_A797_length_734_cov_8.409437_S36	584
NODE_A804_length_732_cov_15.557252_S36	1200
