magnitudes	HG_CF_4
NODE_A107_length_5782_cov_22.402103_S30	3711
NODE_A108_length_5761_cov_25.747537_S30	3778
NODE_A117_length_5553_cov_25.333455_S30	3858
NODE_A119_length_5523_cov_24.447301_S30	3393
NODE_A120_length_5486_cov_25.588833_S30	3583
NODE_A121_length_5476_cov_22.013891_S30	3394
NODE_A124_length_5470_cov_42.199518_S30	6097
NODE_A129_length_5417_cov_37.813483_S30	5601
NODE_A134_length_5325_cov_23.784108_S30	3602
NODE_A136_length_5299_cov_24.823248_S30	3739
NODE_A138_length_5296_cov_25.629048_S30	4019
NODE_A141_length_5249_cov_36.387471_S30	5033
NODE_A143_length_5242_cov_23.340174_S30	3507
NODE_A146_length_5200_cov_41.453445_S30	5486
NODE_A148_length_5181_cov_24.486285_S30	3827
NODE_A149_length_5161_cov_26.277734_S30	3890
NODE_A150_length_5101_cov_30.938495_S30	4007
NODE_A152_length_5094_cov_28.736895_S30	3608
NODE_A153_length_5070_cov_23.457641_S30	3257
NODE_A156_length_5003_cov_36.383272_S30	5022
NODE_A160_length_4972_cov_27.261696_S30	3712
NODE_A165_length_4876_cov_23.893936_S30	3369
NODE_A166_length_4872_cov_134.405839_S30	15835
NODE_A170_length_4816_cov_27.409369_S30	3399
NODE_A173_length_4796_cov_30.888324_S30	3485
NODE_A174_length_4791_cov_22.100127_S30	3063
NODE_A176_length_4775_cov_77.192422_S30	9750
NODE_A185_length_4680_cov_26.225505_S30	3205
NODE_A190_length_4596_cov_31.173711_S30	3440
NODE_A191_length_4596_cov_25.434388_S30	2883
NODE_A207_length_4422_cov_83.169850_S30	6073
NODE_A214_length_4367_cov_48.766200_S30	5458
NODE_A217_length_4354_cov_41.827683_S30	12807
NODE_A221_length_4303_cov_25.969711_S30	2914
NODE_A222_length_4296_cov_40.135814_S30	3745
NODE_A227_length_4238_cov_23.980053_S30	2646
NODE_A236_length_4193_cov_23.216229_S30	2959
NODE_A239_length_4177_cov_29.941220_S30	3172
NODE_A243_length_4169_cov_28.455279_S30	3181
NODE_A245_length_4135_cov_26.089946_S30	2779
NODE_A247_length_4121_cov_40.157765_S30	4282
NODE_A250_length_4077_cov_27.787750_S30	3244
NODE_A256_length_4001_cov_23.235474_S30	2848
NODE_A262_length_3973_cov_25.584446_S30	2732
NODE_A265_length_3954_cov_28.291462_S30	3073
NODE_A266_length_3951_cov_25.615385_S30	2491
NODE_A270_length_3928_cov_32.231628_S30	3179
NODE_A271_length_3916_cov_24.559521_S30	2736
NODE_A273_length_3912_cov_27.561147_S30	2748
NODE_A276_length_3878_cov_23.530650_S30	2534
NODE_A277_length_3877_cov_28.401053_S30	3105
NODE_A281_length_3820_cov_24.802832_S30	2762
NODE_A284_length_3804_cov_37.855380_S30	3406
NODE_A285_length_3799_cov_26.089737_S30	2654
NODE_B17_length_3763_cov_5.595768_S30	5881
NODE_A295_length_3747_cov_26.988011_S30	2615
NODE_A297_length_3741_cov_31.076419_S30	3011
NODE_A298_length_3740_cov_24.278733_S30	2294
NODE_A303_length_3691_cov_24.717488_S30	2461
NODE_A304_length_3690_cov_26.790479_S30	2733
NODE_A306_length_3683_cov_36.059346_S30	3119
NODE_B20_length_3532_cov_7.643126_S30	3267
NODE_A333_length_3521_cov_24.321138_S30	2226
NODE_A334_length_3520_cov_32.646529_S30	2949
NODE_A335_length_3518_cov_35.447544_S30	3241
NODE_A336_length_3517_cov_28.424128_S30	2625
NODE_A338_length_3510_cov_30.678707_S30	2168
NODE_A339_length_3500_cov_25.147824_S30	2153
NODE_A344_length_3485_cov_26.975059_S30	2522
NODE_A348_length_3468_cov_32.679446_S30	2498
NODE_A352_length_3442_cov_34.541753_S30	3052
NODE_A357_length_3424_cov_25.725725_S30	2385
NODE_A367_length_3388_cov_26.086983_S30	2252
NODE_A368_length_3383_cov_25.453418_S30	2206
NODE_A370_length_3377_cov_31.766667_S30	3031
NODE_A385_length_3341_cov_30.091299_S30	2620
NODE_B25_length_3329_cov_10.238007_S30	2033
NODE_A391_length_3311_cov_38.313544_S30	3370
NODE_A396_length_3294_cov_37.682002_S30	5920
NODE_A397_length_3294_cov_26.105999_S30	1990
NODE_A401_length_3279_cov_91.173954_S30	2568
NODE_A406_length_3260_cov_22.515237_S30	2034
NODE_A416_length_3232_cov_37.871949_S30	3356
NODE_A417_length_3222_cov_35.703975_S30	2959
NODE_A423_length_3197_cov_32.989744_S30	2779
NODE_A425_length_3189_cov_22.614396_S30	1937
NODE_A434_length_3171_cov_37.740789_S30	3268
NODE_A439_length_3163_cov_23.282566_S30	2036
NODE_A441_length_3157_cov_34.329545_S30	2840
NODE_A446_length_3137_cov_24.195752_S30	2085
NODE_A464_length_3084_cov_25.278351_S30	2094
NODE_A467_length_3078_cov_32.713762_S30	2800
NODE_A471_length_3071_cov_28.071142_S30	2379
NODE_A501_length_2960_cov_23.027402_S30	1904
NODE_A511_length_2944_cov_99.553540_S30	3363
NODE_A520_length_2919_cov_37.568966_S30	3168
NODE_A532_length_2887_cov_31.913879_S30	2512
NODE_A539_length_2872_cov_32.852952_S30	2439
NODE_A546_length_2856_cov_38.512774_S30	2167
NODE_A547_length_2854_cov_25.862081_S30	4646
NODE_A553_length_2846_cov_27.094619_S30	1892
NODE_A577_length_2805_cov_38.514296_S30	2826
NODE_A581_length_2798_cov_41.753767_S30	2525
NODE_A583_length_2797_cov_22.915809_S30	1756
NODE_A603_length_2769_cov_28.206538_S30	1894
NODE_A604_length_2766_cov_51.997025_S30	3462
NODE_A605_length_2766_cov_32.102640_S30	2194
NODE_A610_length_2756_cov_30.028369_S30	1778
NODE_A617_length_2739_cov_44.208866_S30	3070
NODE_A618_length_2738_cov_55.009019_S30	3823
NODE_A619_length_2737_cov_24.057143_S30	1820
NODE_A629_length_2719_cov_21.931870_S30	1677
NODE_A642_length_2697_cov_35.182824_S30	1768
NODE_A659_length_2667_cov_33.990734_S30	2328
NODE_A671_length_2640_cov_25.622708_S30	1750
NODE_A674_length_2638_cov_48.584537_S30	2432
NODE_A677_length_2632_cov_36.153425_S30	2111
NODE_A678_length_2629_cov_27.297414_S30	1776
NODE_A692_length_2597_cov_29.097222_S30	1971
NODE_A700_length_2579_cov_37.620703_S30	2654
NODE_A717_length_2559_cov_24.604351_S30	1593
NODE_A721_length_2557_cov_24.227016_S30	1563
NODE_A734_length_2545_cov_24.164506_S30	1608
NODE_A740_length_2540_cov_30.229801_S30	3566
NODE_A743_length_2534_cov_34.964998_S30	2039
NODE_A768_length_2506_cov_20.352408_S30	1744
NODE_A772_length_2500_cov_26.041271_S30	1751
NODE_A780_length_2492_cov_22.961905_S30	1694
NODE_A823_length_2432_cov_24.550318_S30	1572
NODE_A828_length_2427_cov_25.821277_S30	1627
NODE_A833_length_2420_cov_35.159198_S30	1694
NODE_A842_length_2403_cov_26.423044_S30	1659
NODE_A854_length_2394_cov_28.357359_S30	2078
NODE_A855_length_2393_cov_34.554836_S30	1754
NODE_A864_length_2384_cov_32.804075_S30	1977
NODE_A874_length_2374_cov_26.628211_S30	1537
NODE_A879_length_2368_cov_28.891314_S30	1844
NODE_A885_length_2363_cov_26.071304_S30	1673
NODE_A929_length_2319_cov_24.187333_S30	1509
NODE_A933_length_2315_cov_27.537980_S30	1541
NODE_A940_length_2305_cov_32.106373_S30	1598
NODE_A983_length_2252_cov_33.549885_S30	1684
NODE_A1005_length_2235_cov_29.966636_S30	1858
NODE_A1008_length_2233_cov_27.761132_S30	1533
NODE_A1056_length_2193_cov_39.564745_S30	2097
NODE_A1059_length_2191_cov_27.080416_S30	1504
NODE_A1080_length_2162_cov_30.397602_S30	1603
NODE_A1095_length_2154_cov_24.908522_S30	1518
NODE_A1153_length_2103_cov_34.222606_S30	1506
NODE_A1168_length_2094_cov_35.450669_S30	1995
NODE_A1192_length_2075_cov_25.410911_S30	1373
NODE_A1206_length_2064_cov_59.654756_S30	1716
NODE_A1254_length_2043_cov_73.515768_S30	2156
NODE_B60_length_2011_cov_6.264736_S30	1887
NODE_A1314_length_1996_cov_23.732152_S30	1306
NODE_A1323_length_1993_cov_31.116388_S30	1452
NODE_B63_length_1987_cov_4.787435_S30	1214
NODE_A1336_length_1982_cov_29.649344_S30	1471
NODE_A1403_length_1944_cov_21.344938_S30	1217
NODE_A1414_length_1935_cov_41.389128_S30	2197
NODE_A1415_length_1935_cov_31.017223_S30	1590
NODE_A1429_length_1927_cov_40.670811_S30	1836
NODE_A1446_length_1915_cov_35.855822_S30	1873
NODE_A1459_length_1908_cov_43.575096_S30	2277
NODE_B75_length_1903_cov_5.745345_S30	1135
NODE_A1491_length_1888_cov_26.936499_S30	1432
NODE_A1494_length_1887_cov_50.460221_S30	1905
NODE_A1511_length_1877_cov_28.342222_S30	1353
NODE_A1560_length_1852_cov_36.463099_S30	1881
NODE_A1598_length_1834_cov_27.857143_S30	1365
NODE_A1639_length_1814_cov_32.938975_S30	1442
NODE_A1683_length_1796_cov_42.582897_S30	1976
NODE_B86_length_1787_cov_11.353216_S30	5021
NODE_A1731_length_1778_cov_47.204586_S30	1138
NODE_A1733_length_1777_cov_58.515294_S30	1758
NODE_B89_length_1772_cov_2.818289_S30	1235
NODE_A1743_length_1771_cov_28.724911_S30	1206
NODE_A1748_length_1769_cov_26.363475_S30	1304
NODE_A1797_length_1751_cov_26.354839_S30	1300
NODE_A1808_length_1745_cov_30.329137_S30	1348
NODE_A1818_length_1740_cov_31.201443_S30	1480
NODE_A1824_length_1737_cov_35.309036_S30	1287
NODE_A1843_length_1728_cov_26.879467_S30	1299
NODE_B96_length_1726_cov_7.039418_S30	1795
NODE_B99_length_1716_cov_3.788286_S30	1533
NODE_A1881_length_1714_cov_28.010996_S30	1113
NODE_A1941_length_1686_cov_27.740211_S30	1195
NODE_A1954_length_1682_cov_40.520249_S30	1670
NODE_A2087_length_1629_cov_30.287371_S30	1317
NODE_B117_length_1627_cov_38.383226_S30	5642
NODE_A2110_length_1621_cov_27.154145_S30	1171
NODE_A2111_length_1621_cov_24.407383_S30	982
NODE_A2149_length_1609_cov_79.943211_S30	2268
NODE_A2162_length_1605_cov_25.553010_S30	1076
NODE_A2230_length_1582_cov_38.398007_S30	1606
NODE_B127_length_1570_cov_4.863362_S30	1721
NODE_A2270_length_1567_cov_35.573826_S30	1222
NODE_A2330_length_1552_cov_31.583051_S30	1225
NODE_A2332_length_1551_cov_48.648575_S30	1325
NODE_A2351_length_1545_cov_32.716621_S30	1265
NODE_A2352_length_1545_cov_25.401907_S30	1086
NODE_A2361_length_1542_cov_25.066894_S30	1077
NODE_A2378_length_1536_cov_29.392735_S30	1027
NODE_A2439_length_1521_cov_19.400970_S30	1111
NODE_A2503_length_1507_cov_42.648951_S30	999
NODE_A2559_length_1496_cov_25.523608_S30	1104
NODE_A2570_length_1492_cov_44.144170_S30	1740
NODE_A2584_length_1489_cov_32.186261_S30	1199
NODE_A2647_length_1469_cov_22.057471_S30	1067
NODE_A2669_length_1464_cov_58.065609_S30	2124
NODE_A2679_length_1460_cov_22.984093_S30	947
NODE_A2687_length_1458_cov_28.421434_S30	1059
NODE_A2689_length_1457_cov_28.643478_S30	1191
NODE_A2708_length_1452_cov_30.181818_S30	1020
NODE_A2720_length_1449_cov_25.611516_S30	1203
NODE_A2789_length_1436_cov_49.389993_S30	1178
NODE_A2828_length_1430_cov_52.107908_S30	1775
NODE_A2836_length_1428_cov_22.128793_S30	940
NODE_A2861_length_1422_cov_26.053532_S30	1107
NODE_A2908_length_1411_cov_20.493253_S30	976
NODE_B172_length_1407_cov_7.368421_S30	1076
NODE_B176_length_1399_cov_3.133132_S30	970
NODE_B179_length_1397_cov_6.268182_S30	1186
NODE_A2985_length_1396_cov_23.835481_S30	1059
NODE_A3014_length_1389_cov_23.306402_S30	846
NODE_A3055_length_1381_cov_19.690184_S30	1349
NODE_A3070_length_1378_cov_23.105304_S30	891
NODE_A3086_length_1375_cov_33.109399_S30	924
NODE_A3090_length_1374_cov_54.488049_S30	1091
NODE_A3179_length_1356_cov_28.630962_S30	938
NODE_A3242_length_1346_cov_39.245863_S30	1354
NODE_B205_length_1340_cov_39.593032_S30	7243
NODE_B207_length_1337_cov_4.413492_S30	1065
NODE_A3320_length_1332_cov_32.920319_S30	1091
NODE_B210_length_1322_cov_3.925301_S30	957
NODE_B216_length_1310_cov_3.942417_S30	1130
NODE_A3557_length_1289_cov_22.015677_S30	792
NODE_A3584_length_1284_cov_24.781276_S30	824
NODE_A3605_length_1279_cov_27.873544_S30	954
NODE_A3690_length_1267_cov_29.663866_S30	1002
NODE_A3691_length_1267_cov_23.862185_S30	848
NODE_B236_length_1266_cov_4.171573_S30	842
NODE_A3753_length_1253_cov_45.407313_S30	1498
NODE_A3895_length_1227_cov_40.193043_S30	1239
NODE_A4052_length_1205_cov_34.171099_S30	937
NODE_A4125_length_1195_cov_35.794275_S30	1117
NODE_B284_length_1195_cov_2.423971_S30	910
NODE_A4135_length_1194_cov_44.094897_S30	1207
NODE_A4217_length_1185_cov_57.316787_S30	1671
NODE_B290_length_1183_cov_2.973779_S30	1299
NODE_B293_length_1179_cov_3.911071_S30	1329
NODE_A4261_length_1178_cov_36.614896_S30	1009
NODE_A4451_length_1155_cov_27.775510_S30	751
NODE_B317_length_1154_cov_4.168059_S30	733
NODE_A4491_length_1150_cov_29.260019_S30	1003
