magnitudes	Hae_SW
NODE_A146_length_1229_cov_14.794271_S47	1445
NODE_A382_length_857_cov_17.211538_S47	848
NODE_B126_length_745_cov_4.853293_S47	2665
NODE_B143_length_703_cov_2.392971_S47	1653
NODE_A747_length_692_cov_9.126829_S47	653
NODE_C53_length_683_cov_1.191419_S47	1914
NODE_A984_length_638_cov_29.946524_S47	524
NODE_A1450_length_567_cov_8.887755_S47	511
NODE_A1583_length_555_cov_1.638075_S47	738
NODE_A1867_length_534_cov_2.803063_S47	649
NODE_C75_length_530_cov_2.013245_S47	2836
NODE_B264_length_518_cov_7.852608_S47	1040
NODE_A2408_length_503_cov_45.643192_S47	752
NODE_A2_length_16366_cov_68.635644_S6	55503
NODE_A226_length_4128_cov_107.114293_S7	6413
NODE_B4_length_4026_cov_27.587744_S7	8723
NODE_A340_length_3380_cov_50.720860_S7	5694
NODE_A378_length_3183_cov_37.972956_S7	4394
NODE_B14_length_2678_cov_8.397924_S7	2897
NODE_A678_length_2233_cov_66.287106_S7	2423
NODE_A766_length_2007_cov_64.114508_S7	2515
NODE_C4_length_1696_cov_15.546634_S7	4869
NODE_B111_length_1410_cov_6.499625_S7	4876
NODE_B125_length_1370_cov_10.313225_S7	3048
NODE_A1197_length_1351_cov_33.031397_S7	1399
NODE_B270_length_1066_cov_26.274014_S7	940
NODE_A1908_length_851_cov_22.959948_S7	989
NODE_A1983_length_820_cov_2.971736_S7	872
NODE_B698_length_768_cov_65.464544_S7	3098
NODE_C26_length_765_cov_9.020349_S7	4617
NODE_B854_length_708_cov_5.022187_S7	684
NODE_A2551_length_706_cov_27.963434_S7	743
NODE_A2589_length_701_cov_78.690705_S7	743
NODE_A2627_length_696_cov_11.277868_S7	1105
NODE_A2953_length_657_cov_26.453448_S7	1106
NODE_A3074_length_646_cov_17.695958_S7	655
NODE_A3220_length_635_cov_6.483871_S7	606
NODE_A3558_length_613_cov_12.386194_S7	648
NODE_A3605_length_610_cov_5.941839_S7	820
NODE_A3640_length_608_cov_3.015066_S7	1235
NODE_A3683_length_605_cov_8.816288_S7	1191
NODE_B1279_length_596_cov_5.375723_S7	657
NODE_A4257_length_577_cov_2.646000_S7	697
NODE_A4541_length_565_cov_3.567623_S7	551
NODE_A4847_length_554_cov_50.587002_S7	1381
NODE_A5153_length_544_cov_9.286938_S7	488
NODE_A5393_length_537_cov_6.343478_S7	1479
NODE_A6164_length_518_cov_2.068027_S7	801
NODE_B1779_length_509_cov_3.030093_S7	438
NODE_A6964_length_502_cov_2.312941_S7	825
NODE_B31_length_3912_cov_103.067275_S8	2526
NODE_A14_length_5071_cov_28.907889_S9	15790
NODE_A49_length_3429_cov_19.844272_S9	6365
NODE_A96_length_2876_cov_13.640586_S9	7379
NODE_A1113_length_1152_cov_19.960930_S9	1817
NODE_A1503_length_1018_cov_8.997875_S9	2246
NODE_A2454_length_815_cov_33.537940_S9	854
NODE_A2642_length_787_cov_21.030986_S9	1066
NODE_A2690_length_781_cov_12.112216_S9	649
NODE_A2951_length_748_cov_41.186289_S9	2262
NODE_B261_length_636_cov_3.021467_S9	1353
NODE_C23_length_602_cov_674.215238_S9	207532
NODE_B307_length_601_cov_11.301527_S9	1483
NODE_A5116_length_569_cov_7.256098_S9	884
NODE_B362_length_566_cov_10.361963_S9	2209
NODE_B377_length_558_cov_5.517672_S9	1145
