magnitudes	MMG_CF_5
NODE_A9435_length_652_cov_29.387826_S38	428
NODE_B1651_length_649_cov_1.697552_S38	398
NODE_B1655_length_648_cov_5.905429_S38	647
NODE_B1666_length_647_cov_3.726316_S38	422
NODE_B1667_length_647_cov_3.529825_S38	506
NODE_A9657_length_645_cov_44.491197_S38	600
NODE_B1689_length_644_cov_3.850088_S38	469
NODE_A10218_length_626_cov_40.916211_S38	616
NODE_A10318_length_623_cov_31.743590_S38	401
NODE_A10412_length_620_cov_51.143646_S38	383
NODE_A10637_length_613_cov_16.345149_S38	483
NODE_B1952_length_613_cov_2.796642_S38	461
NODE_B1977_length_611_cov_3.344569_S38	378
NODE_A10772_length_609_cov_9.319549_S38	491
NODE_C78_length_595_cov_1.256757_S38	1014
NODE_B2133_length_594_cov_4.195358_S38	379
NODE_B2165_length_591_cov_3.791829_S38	463
NODE_A11477_length_590_cov_26.604288_S38	480
NODE_A11676_length_585_cov_30.289370_S38	371
NODE_B2226_length_585_cov_2.515748_S38	558
NODE_B2249_length_583_cov_3.891304_S38	639
NODE_A11781_length_582_cov_36.807921_S38	510
NODE_A11851_length_580_cov_26.900596_S38	372
NODE_A11949_length_577_cov_77.300000_S38	889
NODE_B2329_length_576_cov_3.929860_S38	369
NODE_A12070_length_574_cov_49.144869_S38	459
NODE_A12076_length_574_cov_7.611670_S38	436
NODE_A12199_length_571_cov_8.200405_S38	499
NODE_B2382_length_571_cov_2.817814_S38	380
NODE_B2462_length_564_cov_4.338809_S38	512
NODE_A12552_length_563_cov_23.744856_S38	376
NODE_A12902_length_555_cov_44.730126_S38	593
NODE_B2668_length_548_cov_1.895966_S38	428
NODE_A13280_length_547_cov_41.891489_S38	686
NODE_B2714_length_544_cov_20.788009_S38	720
NODE_B2726_length_543_cov_3.633047_S38	438
NODE_A13484_length_542_cov_33.873118_S38	399
NODE_A13704_length_537_cov_33.976087_S38	442
NODE_B2797_length_537_cov_10.636957_S38	1165
NODE_A13755_length_536_cov_36.028322_S38	377
NODE_B2897_length_528_cov_4.332594_S38	382
NODE_A14389_length_523_cov_22.647982_S38	378
NODE_B3082_length_515_cov_3.497717_S38	544
NODE_A15489_length_501_cov_84.787736_S38	708
NODE_A15_length_4855_cov_27.221641_S39	15811
NODE_A238_length_824_cov_18.342704_S39	2372
NODE_A6_length_15806_cov_1153.172738_S40	19190
NODE_A41_length_1991_cov_7.110240_S41	4379
NODE_A174_length_909_cov_64.402644_S42	602
NODE_B9_length_6821_cov_15.918001_S43	24454
NODE_B11_length_4948_cov_10.112913_S43	10847
NODE_A200_length_1260_cov_16.743026_S43	864
NODE_A10_length_4679_cov_70.244024_S44	2858
