magnitudes	HG_SW_5
NODE_A1830_length_586_cov_16.284872_S4	1085
NODE_A1850_length_584_cov_8.873767_S4	635
NODE_B511_length_575_cov_2.361446_S4	801
NODE_A1955_length_574_cov_7.024145_S4	744
NODE_A1957_length_574_cov_5.533199_S4	1070
NODE_A2059_length_564_cov_7.845996_S4	731
NODE_A2138_length_558_cov_11.835759_S4	3624
NODE_A2204_length_553_cov_13.457983_S4	572
NODE_A2225_length_552_cov_13.406316_S4	1606
NODE_A2280_length_549_cov_12.864407_S4	747
NODE_A2304_length_547_cov_22.131915_S4	599
NODE_A2320_length_546_cov_21.812367_S4	3282
NODE_A2324_length_546_cov_14.550107_S4	695
NODE_A2437_length_537_cov_8.989130_S4	962
NODE_A2500_length_532_cov_21.065934_S4	671
NODE_A2508_length_532_cov_10.226374_S4	545
NODE_A2622_length_523_cov_13.401345_S4	917
NODE_A2675_length_520_cov_11.121896_S4	1591
NODE_A2776_length_515_cov_6.589041_S4	364
NODE_A2782_length_514_cov_15.068650_S4	882
NODE_A2795_length_513_cov_31.034404_S4	1090
NODE_B776_length_510_cov_2.602771_S4	1437
NODE_A2898_length_508_cov_7.354988_S4	530
NODE_A2919_length_506_cov_21.699301_S4	628
NODE_A2926_length_506_cov_10.934732_S4	545
NODE_A2930_length_506_cov_7.027972_S4	598
NODE_A2942_length_505_cov_13.754673_S4	822
NODE_A2951_length_505_cov_5.362150_S4	1222
NODE_A3001_length_502_cov_27.828235_S4	902
NODE_A3015_length_502_cov_7.981176_S4	1033
NODE_A3037_length_501_cov_7.353774_S4	1169
NODE_A239_length_557_cov_2.210417_S45	3042
NODE_A10_length_4954_cov_30.542137_S47	29984
NODE_A11_length_4410_cov_28.484883_S47	39726
NODE_A12_length_4359_cov_20.546240_S47	10231
NODE_A14_length_4051_cov_55.716910_S47	100424
NODE_A15_length_3956_cov_16.892756_S47	6351
NODE_A17_length_3918_cov_42.201510_S47	39918
NODE_A18_length_3912_cov_22.781226_S47	10882
NODE_A43_length_2081_cov_24.086327_S47	1889
NODE_A51_length_1800_cov_35.014510_S47	7664
NODE_A59_length_1675_cov_32.861076_S47	1321
NODE_A66_length_1578_cov_60.178548_S47	1849
NODE_A73_length_1522_cov_23.752249_S47	4484
NODE_A80_length_1472_cov_32.868817_S47	8405
NODE_A128_length_1281_cov_19.792359_S47	6902
NODE_A146_length_1229_cov_14.794271_S47	7576
NODE_B78_length_927_cov_1.501176_S47	1041
NODE_A382_length_857_cov_17.211538_S47	3272
NODE_A538_length_763_cov_12.788630_S47	2018
NODE_B126_length_745_cov_4.853293_S47	3816
NODE_B143_length_703_cov_2.392971_S47	4077
NODE_A717_length_702_cov_11.080000_S47	1402
NODE_A747_length_692_cov_9.126829_S47	2779
NODE_C53_length_683_cov_1.191419_S47	5836
NODE_A918_length_653_cov_2.381944_S47	1498
NODE_A934_length_649_cov_7.926573_S47	862
NODE_A984_length_638_cov_29.946524_S47	1466
NODE_A1140_length_609_cov_3.500000_S47	612
NODE_A1366_length_575_cov_14.913655_S47	1199
NODE_A1450_length_567_cov_8.887755_S47	817
NODE_A1561_length_556_cov_2.405010_S47	719
NODE_A1583_length_555_cov_1.638075_S47	1646
NODE_A1812_length_538_cov_3.323210_S47	509
NODE_A1821_length_538_cov_1.689805_S47	854
NODE_A1867_length_534_cov_2.803063_S47	2635
NODE_A1914_length_531_cov_2.966960_S47	761
NODE_C75_length_530_cov_2.013245_S47	18060
NODE_C80_length_525_cov_0.852679_S47	592
NODE_A2024_length_524_cov_2.639821_S47	786
NODE_B264_length_518_cov_7.852608_S47	6966
NODE_A2195_length_513_cov_5.004587_S47	808
NODE_A2408_length_503_cov_45.643192_S47	2653
NODE_A2_length_16366_cov_68.635644_S6	20027
NODE_A4_length_13822_cov_32.271808_S7	10028
NODE_A5_length_12932_cov_25.623571_S7	7965
NODE_A23_length_9155_cov_30.669531_S7	6596
NODE_A78_length_6007_cov_35.203541_S7	5083
NODE_A80_length_5989_cov_26.080683_S7	3674
NODE_A127_length_5008_cov_38.210911_S7	9408
NODE_A172_length_4632_cov_25.556751_S7	2872
NODE_A211_length_4230_cov_23.043101_S7	2546
NODE_A226_length_4128_cov_107.114293_S7	21883
NODE_A227_length_4110_cov_28.885197_S7	2701
NODE_B4_length_4026_cov_27.587744_S7	31362
NODE_A254_length_3976_cov_28.027956_S7	2654
NODE_A276_length_3848_cov_28.462212_S7	2304
NODE_A340_length_3380_cov_50.720860_S7	17016
NODE_A369_length_3230_cov_32.760546_S7	2456
NODE_A378_length_3183_cov_37.972956_S7	10862
NODE_A401_length_3082_cov_22.109484_S7	3028
NODE_B9_length_3038_cov_16.902736_S7	11456
NODE_A481_length_2790_cov_34.691117_S7	2283
NODE_A501_length_2736_cov_26.587439_S7	1676
NODE_A503_length_2733_cov_13.818148_S7	4584
NODE_B14_length_2678_cov_8.397924_S7	6865
NODE_A524_length_2668_cov_27.992281_S7	1763
NODE_A633_length_2365_cov_30.494318_S7	1482
NODE_A640_length_2344_cov_25.959418_S7	1403
NODE_A643_length_2332_cov_29.080710_S7	1565
NODE_A661_length_2272_cov_27.090205_S7	1454
NODE_A678_length_2233_cov_66.287106_S7	9958
NODE_A680_length_2229_cov_29.447026_S7	1615
NODE_A721_length_2108_cov_30.757262_S7	1622
NODE_A736_length_2072_cov_146.553885_S7	6072
NODE_A766_length_2007_cov_64.114508_S7	5010
NODE_A798_length_1931_cov_31.241640_S7	1435
NODE_A826_length_1881_cov_40.294900_S7	1784
NODE_A837_length_1863_cov_30.627100_S7	1302
NODE_A858_length_1835_cov_47.471559_S7	1641
NODE_A872_length_1825_cov_48.117849_S7	1474
NODE_A901_length_1786_cov_44.995904_S7	1823
NODE_A925_length_1745_cov_40.815947_S7	1268
NODE_C4_length_1696_cov_15.546634_S7	22114
NODE_A1021_length_1590_cov_52.015863_S7	1107
NODE_A1029_length_1575_cov_207.895194_S7	1921
NODE_A1082_length_1491_cov_31.242574_S7	1652
NODE_A1147_length_1413_cov_26.739521_S7	887
NODE_B111_length_1410_cov_6.499625_S7	15153
NODE_B125_length_1370_cov_10.313225_S7	10582
NODE_A1197_length_1351_cov_33.031397_S7	4562
NODE_A1235_length_1310_cov_33.695053_S7	2491
NODE_A1241_length_1306_cov_18.890155_S7	906
NODE_A1244_length_1304_cov_39.923390_S7	1172
NODE_A1444_length_1120_cov_9.078619_S7	696
NODE_A1461_length_1104_cov_2.999026_S7	2979
NODE_A1464_length_1101_cov_31.268555_S7	775
NODE_B270_length_1066_cov_26.274014_S7	6397
NODE_A1615_length_987_cov_3.447253_S7	1002
NODE_A1634_length_974_cov_2.853958_S7	1183
NODE_A1695_length_946_cov_35.253165_S7	720
NODE_B446_length_883_cov_4.225806_S7	566
NODE_A1854_length_870_cov_6.622951_S7	945
NODE_A1908_length_851_cov_22.959948_S7	3292
NODE_A1920_length_843_cov_27.429504_S7	513
NODE_B549_length_830_cov_4.232404_S7	519
NODE_A1983_length_820_cov_2.971736_S7	1935
NODE_A2030_length_808_cov_2.703146_S7	1565
NODE_A2051_length_799_cov_28.955679_S7	538
NODE_A2165_length_776_cov_38.236052_S7	2006
NODE_A2189_length_770_cov_4.167388_S7	2114
NODE_A2190_length_769_cov_2.906069_S7	960
NODE_B698_length_768_cov_65.464544_S7	14127
NODE_C25_length_767_cov_1.389855_S7	1994
NODE_A2204_length_765_cov_69.860465_S7	1169
NODE_C26_length_765_cov_9.020349_S7	20694
NODE_A2244_length_757_cov_6.501471_S7	901
NODE_A2303_length_747_cov_2.138806_S7	7715
NODE_A2351_length_737_cov_28.236364_S7	1179
NODE_A2391_length_730_cov_27.828484_S7	472
NODE_A2396_length_730_cov_3.326187_S7	1127
NODE_A2429_length_724_cov_24.188563_S7	502
NODE_A2457_length_719_cov_2.788162_S7	1901
NODE_A2493_length_714_cov_2.620094_S7	1408
NODE_A2504_length_712_cov_5.017323_S7	629
NODE_A2513_length_711_cov_3.526814_S7	1399
NODE_B854_length_708_cov_5.022187_S7	1646
NODE_A2551_length_706_cov_27.963434_S7	1976
NODE_A2568_length_704_cov_21.760766_S7	547
NODE_A2589_length_701_cov_78.690705_S7	2573
NODE_A2617_length_698_cov_4.777778_S7	1197
NODE_A2627_length_696_cov_11.277868_S7	2048
NODE_A2713_length_684_cov_16.056013_S7	587
NODE_A2728_length_682_cov_4.090909_S7	1233
NODE_A2755_length_679_cov_5.978405_S7	587
NODE_A2815_length_673_cov_3.721477_S7	804
NODE_A2887_length_664_cov_2.359455_S7	1113
NODE_A2947_length_658_cov_4.841652_S7	2383
NODE_A2953_length_657_cov_26.453448_S7	3287
NODE_A2968_length_655_cov_3.747405_S7	1351
NODE_A3017_length_650_cov_3.169284_S7	732
NODE_A3047_length_648_cov_3.330998_S7	4849
NODE_A3074_length_646_cov_17.695958_S7	1455
NODE_A3075_length_646_cov_4.414763_S7	1123
NODE_A3129_length_642_cov_3.258407_S7	1045
NODE_A3138_length_641_cov_6.627660_S7	2664
NODE_A3209_length_636_cov_2.701252_S7	652
NODE_A3220_length_635_cov_6.483871_S7	2748
NODE_A3230_length_635_cov_2.566308_S7	1657
NODE_A3330_length_628_cov_2.785844_S7	701
NODE_A3379_length_625_cov_1.695255_S7	1164
NODE_A3413_length_622_cov_4.631193_S7	522
NODE_A3438_length_620_cov_15.736648_S7	571
NODE_A3443_length_620_cov_3.616943_S7	1218
NODE_A3506_length_616_cov_2.521336_S7	837
NODE_A3544_length_614_cov_3.778399_S7	492
NODE_A3558_length_613_cov_12.386194_S7	2242
NODE_A3570_length_612_cov_3.790654_S7	595
NODE_A3590_length_611_cov_2.709738_S7	700
NODE_A3605_length_610_cov_5.941839_S7	4020
NODE_A3614_length_610_cov_1.863039_S7	910
NODE_A3637_length_608_cov_3.747646_S7	743
NODE_A3640_length_608_cov_3.015066_S7	3195
NODE_A3648_length_608_cov_2.052731_S7	733
NODE_A3683_length_605_cov_8.816288_S7	5323
NODE_A3723_length_603_cov_3.302281_S7	891
NODE_A3764_length_600_cov_5.657744_S7	684
NODE_A3769_length_600_cov_2.933078_S7	2030
NODE_A3806_length_598_cov_3.341651_S7	733
NODE_A3830_length_597_cov_3.001923_S7	970
NODE_A3841_length_597_cov_1.640385_S7	1129
NODE_B1279_length_596_cov_5.375723_S7	2542
NODE_A3864_length_595_cov_3.976834_S7	1221
NODE_A3893_length_593_cov_3.494186_S7	872
NODE_A3986_length_588_cov_3.142857_S7	872
NODE_A4008_length_587_cov_2.370588_S7	941
NODE_A4083_length_584_cov_2.185404_S7	785
NODE_B1358_length_583_cov_0.594862_S7	821
NODE_A4140_length_582_cov_1.332673_S7	938
