NODE	Virus	Class	Order 	Family
NODE_B8_length_7629_cov_10.178628_S22	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A14_length_10897_cov_20.607763_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A185_length_1137_cov_3.631132_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_B10_length_7015_cov_26.363361_S22	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A422_length_3199_cov_8.705637_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A75_length_2793_cov_4.187408_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A889_length_2360_cov_11.001314_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A46_length_4121_cov_29.726508_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A58_length_1779_cov_7.326087_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3_length_4788_cov_8.690936_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A28_length_2185_cov_29.087761_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A273_length_744_cov_1.985007_S39	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3057_length_1381_cov_9.239264_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A178_length_4767_cov_13.458209_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A23_length_5972_cov_23.976590_S49	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A18_length_2891_cov_7.369936_S41	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A129_length_2350_cov_16.407831_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A332_length_3532_cov_9.066281_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A80_length_3051_cov_59.640888_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A156_length_1303_cov_44.333605_S32	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B4_length_18996_cov_14.510334_S25	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3690_length_1267_cov_29.663866_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1713_length_627_cov_3.003636_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A189_length_1583_cov_41.280876_S49	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A7_length_5932_cov_833.977284_S5	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A161_length_1761_cov_5.773753_S49	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B4_length_1930_cov_6.359957_NC2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2214_length_1310_cov_14.407137_S38	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A58_length_2517_cov_27.115164_S32	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A48_length_2862_cov_15.315978_S22	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A20_length_2682_cov_7.834933_S13	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1V_length_107369V85725_cov_22.788987_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1463_length_1906_cov_7.720066_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A15_length_7966_cov_760.431233_S8	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A10_length_4745_cov_282.483290_S45	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A436_length_1101_cov_15.685547_S6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B95_length_673_cov_1.348993_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
